Rep;Composant;Désignation;Section / référence;Longueur débit (mm);Matériau;Type;Qté;Masse unit. (kg);Masse totale (kg);Fonction;Sous-ensemble soudé;Statut;Corps
032;08_DOOR_HINGES;Axe de charnière Ø16;Ø16 × 118;118;Acier inox A2 (PROVISOIRE);quincaillerie;6;0.20;1.18;Axe d'articulation démontable;;PROVISOIRE (matière);08-AXG1 08-AXG2 08-AXG3 08-AXD1 08-AXD2 08-AXD3
047;09_LOCKING_SYSTEM;Boîtier de crémone-serrure;Crémone 3 points à cylindre;;Acier zingué (achat);acheté;1;2.20;2.20;Serrure mécanique à cylindre, entraînement des tringles;;PROVISOIRE (référence);09-SER
048;09_LOCKING_SYSTEM;Poignée palette extérieure cadenassable;Poignée palette + rosace;;Acier zingué (achat);acheté;1;1.10;1.10;Manœuvre de la crémone depuis l'extérieur;;PROVISOIRE (référence);09-POI
060;12_WHEELS;Roulette pivotante Ø200 à frein total;Ø200×50 H245 CMU 500 kg;;Acier zingué / caoutchouc plein (achat);acheté;2;9.50;19.00;Roulage chantier, orientation, immobilisation;;PROVISOIRE (référence catalogue);12-ROU-AVG 12-ROU-AVD
061;24_FASTENERS_HARDWARE;Vis H M12×50 cl. 8.8 + écrou frein + rondelle;M12×50;;Acier cl. 8.8 zingué;quincaillerie;16;0.07;1.20;Fixation démontable de roulette;;;24-VIS-AVG1 24-VIS-AVG2 24-VIS-AVG3 24-VIS-AVG4 24-VIS-AVD1 24-VIS-AVD2 24-VIS-AVD3 24-VIS-AVD4 24-VIS-ARG1 24-VIS-ARG2 24-VIS-ARG3 24-VIS-ARG4 24-VIS-ARD1 24-VIS-ARD2 24-VIS-ARD3 24-VIS-ARD4
062;12_WHEELS;Roulette pivotante Ø200 à blocage directionnel;Ø200×50 H245 CMU 500 kg;;Acier zingué / caoutchouc plein (achat);acheté;2;9.50;19.00;Roulage chantier, orientation, marche en ligne;;PROVISOIRE (référence catalogue);12-ROU-ARG 12-ROU-ARD
081;25_LOGO;Marquage HURAVA by ARCHIACCESS — face arrière;Film adhésif découpé;;Adhésif polymère 0,3;marquage;1;0.05;0.05;Identification produit;;;25-LOG-AR
082;25_LOGO;Marquage HURAVA — vantail gauche;Film adhésif découpé;;Adhésif polymère 0,3;marquage;1;0.02;0.02;Identification produit;;;25-LOG-AV
